v1,v2
ham,Hey;are we still meeting for lunch today?
spam,Congratulations! You have won a free vacation to the Bahamas. Call now!
ham,Can you send me the report by tomorrow morning?
spam,You have been selected for a $1000 Walmart gift card! Click here to claim.
ham,Don not forget about the meeting at 3 PM.
spam,URGENT! Your account has been suspended. Verify your information immediately.
ham,I will call you when I am on the way home.
spam,Get cheap meds online with no prescription! Limited time offer.
ham,Happy birthday! Hope you have an amazing day!
spam,You have won a brand new iPhone 15! Reply WIN to claim your prize.